Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","c_0402",-4.400000,1.460500,270.000000,top
"C2","0.1uF","c_0402",-6.300000,-3.753500,180.000000,top
"C3","0.1uF","c_0402",-8.700000,-3.753500,180.000000,top
"C4","0.1uF","c_0402",-13.000000,-1.778000,90.000000,top
"C5","0.1uF","c_0402",-11.000000,4.796500,0.000000,top
"C6","4.7uF","c_0603",-4.250000,4.076500,270.000000,top
"C7","4.7uF","c_0603",-2.100000,-0.660400,0.000000,top
"D1","LED","LED0603",-17.250000,-1.653500,270.000000,top
"R1","470","r_0402",-15.750000,-1.853500,270.000000,top
"U1","GD32F103TB","QFN36",-8.700000,0.496500,180.000000,top
"U2","MCP1700-3302E","SOT-23",-1.930400,2.438400,0.000000,top
"U3","NUF2221W1","SOT363",-14.000000,2.236500,0.000000,top
"X1","12MHz","FA-20H",-2.430780,-3.380740,0.000000,top
